reference	GSL5	GSL10	GSL15	GSL20	GSL25	GSL30	GSL35	GSL40	GSL45	GSL50	GSL55	GSL60	GSL65	GSL70	GSL75	GSL80	GSL85	GSL90	GSL95	GSL100	GSL105	GSL110	GSL115	GSL120	GSL125	GSL130	GSL135	GSL140	GSL145	GSL150	GSL155	GSL160	GSL165	GSL170	GSL175	GSL180	GSL185	GSL190	GSL195	GSL200	GSL205	GSL210	GSL215	GSL220	GSL225	GSL230	GSL235	GSL240	GSL245	GSL250	GSL255	GSL260	GSL265	GSL270	GSL275	GSL280	GSL285	GSL290	GSL295	GSL315	GSL320	GSL325	GSL330	GSL335	GSL340	GSL345	GSL350	GSL355																																																																					
Time	Area																																																																																																																																								
		24.64	707	14.245	864	23.147	1806	26.217	2719	14.254	487	36.95	1806	13.417	8602	25.633	3614	16.908	2449	13.686	619	16.969	2958	24.079	380	14.45	2265	22.501	1463	17.407	517	24.55	2879	25.392	332	12.588	1855	24.684	1001	15.931	874	17.471	658	14.449	2193	17.028	1150	14.542	1932	15.133	427	16.579	3290	15.337	1146	12.676	686	15.569	1198	23.411	2362	13.296	416	23.41	2380	21.503	5981	24.403	1188	19.284	832	25.157	1906	26.509	275	25.329	70429	23.127	3326	18.853	1086	30.123	313	21.136	773	19.968	1094	14.522	2245	21.391	8005	25.373	545	17.133	3022	30.171	340	14.919	20086	21.163	3092	35.612	7369	30.272	2664	26.289	483	32.922	16910	19.569	1080	15.43	1160	21.008	1571	19.649	427	29.516	3887	29.652	2387	30.907	1732	32.783	536	29.654	11216			34.379	1748			26.534	1090	29.757	4545
		24.684	865	14.287	1255	23.278	335	26.325	1322	14.295	955			13.507	519	26.137	427	16.97	954	13.794	5577	17.408	1092	24.345	2262	14.541	2344	22.539	4465	17.47	963	24.845	1274	25.47	293	12.671	533	24.761	538	15.972	2878	17.691	256	14.542	1845	17.157	12247	14.6	1842	15.565	379	16.663	472	15.449	2218	12.78	8626	15.607	451	23.574	425	13.405	5966	23.572	537	21.728	665	24.545	2668	19.323	345	25.333	49284	26.561	469	25.38	375	23.336	19488	19.024	523	30.175	1777	21.344	1305	20.094	2145	14.58	1443	21.49	2702	25.54	207	17.225	832	30.272	2828	14.965	1574	21.394	41170			30.515	6709	26.542	1239	33.102	15486	19.656	685	15.495	815	21.137	881	19.716	1714	29.761	421	29.791	18955	31.054	663	32.914	8832	29.757	15010			35.252	11101			26.753	2609	29.79	15744
		25.172	2257	14.372	18128	23.353	7213	26.409	606	14.38	18997			13.56	79522	26.212	5024	17.155	16604	13.846	663	17.467	977	24.55	2907	14.599	1504	22.662	12288	17.688	369	25.168	2375	25.557	223	12.722	506	25.171	2463	16.241	2740	18.435	1655	14.6	1767	17.244	4304	14.842	1728	15.621	602	16.805	1862	15.514	801	12.844	3293	15.773	514	23.663	815	13.495	609	23.661	901	21.787	755	24.629	802	19.419	2008	25.384	313	26.718	644	25.456	296	23.468	1146	19.096	312	30.276	2314	21.397	19870	20.162	2085	14.821	2382	21.772	507	25.615	369	17.37	1023	30.513	7011	15.025	558	21.769	398			30.658	5611	26.762	2851	33.218	1248	19.722	2334	15.558	1811	21.345	1569	19.963	330	29.823	602	29.888	4377	31.167	17316	33.771	1356	29.793	26389			35.596	1712			26.956	3234	29.89	6854
		25.346	61437	14.448	2520	23.676	571	26.578	872	14.552	2364			13.691	688	26.321	1477	17.243	6740	13.908	219	17.687	325	24.81	668	14.837	2794	22.751	616	18.013	275	25.342	12123	25.64	2783	12.777	6044	25.347	69574	16.339	511	18.63	457	14.84	966	17.325	1418	14.94	20084	15.718	1943	16.876	911	15.577	1711	12.874	3180	15.858	1619	23.939	366	13.55	31895	23.722	615	21.836	266	24.673	721	19.577	1530	25.459	220	26.976	991	25.547	334	23.566	252	19.276	2263	30.518	5207	21.494	5273	20.354	551	14.92	16458	22.519	1345	26.37	894	17.45	5533	30.65	4803	15.193	13832	22.036	329			30.75	6979	26.964	3644	33.776	1839	19.937	9255	15.601	410	21.397	9169	20.092	4526	29.897	680	30.103	279	31.318	2083	33.947	12256	29.89	23932							27.042	345	30.111	933
		25.396	416	14.543	2134	23.72	1308	26.796	2020	14.608	1504			13.8	6158	26.396	798	17.325	1870	14.033	2824	18.421	3243	24.842	981	14.938	16859	23.417	1888	18.426	3393	25.396	4489	26.005	320	12.838	2740	25.396	351	16.412	1204	18.87	1044	14.94	18041	17.394	1969	15.13	310	15.776	521	16.908	836	15.614	447	12.947	7147	15.919	490	24.282	252	13.633	173	23.937	406	22.101	307	24.841	934	19.731	1727	25.553	883	27.586	926	25.633	202	23.654	172	19.723	328	30.668	4204	21.774	1059	20.641	9031	15.141	657	22.688	2073	26.46	470	17.749	2518	30.748	6369	15.314	578	22.087	1468			30.94	9125	27.052	403	33.952	12853	20.099	5095	15.668	570	21.493	2715	20.192	273	30.114	428	30.165	940	31.708	855	34.125	5192	29.986	10686							27.189	232	30.164	1027
		25.474	325	14.601	2054	23.843	1236	27	2750	14.845	3477			13.853	786	26.521	255	17.388	24010	14.243	990	18.627	687	25.169	2169	15.157	745	23.579	430	18.628	772	25.558	323	26.135	413	12.869	2656	25.473	306	16.456	717	19.039	605	15.162	1016	17.47	6694	15.163	534	15.857	5078	16.968	1841	15.719	246	13.028	7384	15.965	1631	24.409	413	13.683	971	24.28	242	22.462	12174	24.88	2214	19.831	286	25.589	405	27.666	794	25.736	170	23.7	350	19.968	504	30.753	6300	21.817	713	20.874	269	15.194	2892	22.726	2063	26.498	760	18.113	684	30.915	1763	15.425	7391	22.372	1522			31.194	1873	27.197	306	34.132	3882	20.166	2110	15.701	423	21.776	588	20.356	656	30.172	3875	30.266	3656	32.019	68932	34.378	1972	30.114	3156							27.336	393	30.265	3849
		25.628	5588	14.839	2446	24.081	643	27.088	256	14.949	15530			13.914	226	26.571	1137	17.47	3486	14.285	1534	18.867	1573	25.343	10976	15.212	3046	23.67	1050	18.867	1651	25.636	3274	26.208	4737	12.942	5809	25.648	2256	16.578	4557	19.292	1526	15.214	1591	17.717	517	15.215	1705	15.931	3281	17.029	1396	15.782	741	13.132	13891	16.235	1448	24.549	2365	13.793	5189	24.405	553	22.528	3982	25.16	2378	19.983	768	25.74	436	27.73	707	25.989	338	23.828	573	20.095	260	30.922	2022	22.084	429	21.006	1576	15.313	1343	23.136	1711	26.548	1008	18.196	734	31.063	1048	15.493	288	22.683	5956			31.329	1444	27.57	634	34.388	1798	20.359	2435	15.765	746	22.408	212	20.471	327	30.273	2579	30.378	449	32.306	1277	35.256	12551	30.167	8135							27.564	1414	30.377	307
		25.815	225	14.94	22998	24.12	284	27.232	233	15.223	2332			14.04	3139	26.79	2098	17.712	860	14.37	17838	19.036	555	25.395	3927	15.333	1413	23.843	1310	19.039	622	25.821	655	26.315	929	13.021	8074	26.006	371	16.639	2066	19.739	355	15.333	1811	17.769	6801	15.335	1828	15.987	608	17.121	3270	15.863	2433	13.177	3745	16.405	837	24.676	1356	13.844	999	24.546	2090	22.675	12925	25.283	237	20.108	3025	25.868	479	28.057	436	26.121	478	23.94	326	20.356	2219	31.071	948	22.376	370	21.134	602	15.428	1679	23.398	1426	26.967	1024	18.714	376	31.19	6287	15.55	1511	22.905	1982			31.595	606	27.718	3823	34.595	10698	20.479	406	15.85	2179	22.528	2375	20.682	5118	30.515	7782	30.508	7689	32.923	7180	35.601	1976	30.267	4691							27.708	3418	30.507	8581
		26.007	330	15.049	830	24.345	1134	27.606	441	15.34	1248			14.249	1131	26.995	3241	17.768	9985	14.446	2814	19.11	289	25.47	258	15.446	1751	23.945	263	19.111	557	26.136	392	26.566	1211	13.13	9477	26.139	474	16.802	1932	19.806	223	15.449	772	18.135	818	15.449	848	16.243	3198	17.157	3982	15.931	604	13.302	1140	16.447	507	24.75	247	13.904	159	24.63	590	23.15	1482	25.335	61344	20.206	450	25.993	245	28.31	360	26.192	4624	23.997	1096	20.644	13994	31.192	14646	22.406	638	21.342	993	15.493	955	23.56	292	27.287	326	18.846	483	31.329	2121	15.59	2326	22.955	442			31.719	1397	28.257	2456	35.264	27190	20.68	6655	15.913	1138	22.638	214	20.764	946	30.66	9973	30.648	6223	33.769	825			30.375	667							28.248	1823	30.621	22816
		26.211	4171	15.129	697	24.513	370	27.753	3075	15.455	1582			14.29	1639	27.079	301	17.933	531	14.54	2468	19.288	2059	25.633	3506	15.51	1078	24.08	864	19.157	453	26.208	5133	26.786	2732	13.169	4661	26.212	5119	16.876	664	19.983	1316	15.512	1630	18.217	573	15.512	1609	16.447	254	17.246	1222	15.974	2204	13.409	28019	16.571	2967	24.916	367	14.03	2404	24.673	801	23.339	1291	25.385	527	20.367	863	26.126	225	28.449	3794	26.303	1477	24.531	325	20.878	305	31.333	1874	22.471	8464	21.394	12583	15.554	2011	23.65	1196	27.576	2801	18.941	458	31.715	652	15.694	1856	23.118	2358			31.888	396	28.438	23322	35.621	186567	20.885	2206	15.956	922	22.739	4957	21.005	2517	30.749	10141	30.741	5273	33.943	12876			30.508	8581							28.292	554	30.741	7716
		26.318	1767	15.163	758	24.552	479	28.294	1474	15.52	954			14.375	18586	27.226	260	18.099	2196	14.598	2403	19.562	343	25.818	434	15.572	2144	24.142	1128	19.291	2001	26.311	378	26.989	3737	13.296	1087	26.319	1491	16.91	1498	20.182	2120	15.574	3207	18.298	242	15.575	3239	16.802	670	17.391	1729	16.078	286	13.504	1520	16.654	425	25.16	2707	14.1	741	25.16	2876	23.409	2238	25.461	228	20.687	11678	26.198	2702	28.554	1692	26.377	650	24.627	1380	21.022	532	31.722	1622	22.517	7893	21.49	3248	15.595	522	24.529	2435	27.721	543	18.973	472	32.026	50519	15.755	1390	23.323	9561			32.029	58844	28.547	871	36.162	1007	21.01	2710	16.225	2044	22.834	454	21.133	422	30.92	3673	30.911	1639	34.123	4753			30.63	17747							28.352	304	30.909	1966
		26.4	1067	15.214	1992	24.651	1052	28.34	313	15.582	1940			14.453	3215	27.597	388	18.216	516	14.835	3870	19.737	632	26.137	374	15.614	559	24.347	3288	19.565	362	26.566	480	27.076	361	13.336	328	26.397	2299	16.965	1873	20.372	1999	15.692	688	18.421	538	15.693	659	16.882	652	17.471	9103	16.243	2069	13.559	206852	16.903	471	25.336	62786	14.24	766	25.336	65280	23.572	457	25.642	570	21.019	2408	26.382	3141	28.619	39231	26.552	1253	24.743	594	21.168	3323	32.028	37593	22.689	11654	21.773	670	15.696	933	25.147	2067	28.049	655	19.091	546	32.797	761	15.841	4797	23.557	443			32.668	3645	28.608	83055			21.136	200	16.394	868	22.923	314	21.342	811	31.196	6685	31.059	1082	34.376	2021			30.74	5498							28.428	21066	31.055	1070
		26.57	984	15.329	2130	24.765	865	28.392	217	15.624	517			14.546	2816	27.748	3728	18.296	474	14.939	26524	19.803	660	26.209	5823	15.674	620	24.416	386	19.737	820	26.784	1922	27.222	319	13.404	19729	26.485	385	17.027	1606	20.647	18004	15.718	694	18.584	575	15.718	728	16.971	1717	17.77	3491	16.413	1062	13.639	418	16.963	697	25.387	353	14.281	1044	25.385	442	23.661	1235	25.867	419	21.223	380	26.556	1132	28.79	1464	26.772	3250	24.908	588	21.406	74608	32.317	953	22.833	569	22.397	633	15.761	843	25.321	17149	28.301	1238	19.405	1914	32.936	5498	15.908	1795	23.646	296			32.922	11330	29.032	614			21.201	1394	16.434	760	23.158	1732	21.393	13220	31.261	1784	31.174	13828	35.252	10292			30.909	2492							28.536	691	31.164	19370
		26.789	2528	15.449	1017	24.804	857	28.473	20795	15.676	939			14.603	2677	28.07	230	18.364	197	15.047	1133	19.981	1212	26.301	775	15.716	574	24.55	3993	19.804	810	26.988	6951	27.595	695	13.497	1278	26.57	1630	17.121	2799	20.898	489	15.783	1213	18.634	626	15.784	1292	17.028	1415	17.995	866	16.453	639	13.688	2051	17.115	1240	25.462	302	14.366	22747	25.461	305	24.098	674	25.993	505	21.405	13123	26.776	2015	29.158	1012	26.975	4259	25.275	273	21.776	373	32.795	2130	23.137	7333	22.475	3750	15.844	2610	25.373	4526	28.377	1081	19.568	566	33.017	1763	15.951	5182	23.819	210			33.012	3144	29.149	2160			21.347	277	16.561	1362	23.322	929	21.489	3828	31.328	1776	31.319	1829	35.594	1213			31.057	1059							28.6	154655	31.32	1328
		26.994	3928	15.511	1985	24.847	1254	28.584	545	15.726	598			14.843	2909	28.119	606	18.418	4914	15.128	786	20.108	315	26.361	6378	15.78	1043	24.648	395	19.981	1458	27.074	268	27.742	3725	13.554	171419	26.789	2940	17.157	7640	21.042	777	15.862	2278	18.705	3180	15.864	2227	17.12	3593	18.138	908	16.579	3644	13.798	15442	17.151	4707	25.641	646	14.445	2688	25.641	448	24.402	818	26.201	5013	21.504	3804	26.979	3768	29.231	453	27.061	469	25.327	1684	21.995	233	33.11	1322	23.329	2389	22.519	5491	15.909	615	26.186	4276	28.44	2921	19.649	313	33.105	3481	16.05	702	23.989	573			33.441	2429	29.27	598			21.406	49875	16.623	1029	23.399	3198	21.77	754	31.719	2013	31.582	329					31.167	58684							28.795	749	31.708	1175
		27.08	346	15.574	3839	25.293	164	28.647	169491	15.788	990			14.944	29559	28.288	1617	18.585	1202	15.159	948	20.371	2630	26.567	670	15.854	3323	24.843	2275	20.109	408	27.223	372	28.281	2027	13.636	274	26.994	4044	17.245	3498	21.186	5116	15.966	2820	18.866	465	15.928	652	17.307	279	18.217	1116	16.662	422	13.848	1772	17.239	1365	25.869	204	14.538	2950	25.998	342	24.543	3029	26.384	3181	21.785	638	27.063	354	29.333	161	27.207	447	25.379	715	22.043	288	33.961	9429	23.399	4130	22.592	1175	15.952	1640	26.368	237	28.557	1606	19.716	2048	33.959	10597	16.218	2793	24.525	341			33.782	823	29.326	364			21.495	9114	16.863	337	23.456	722	21.814	440	32.03	56645	31.71	723					31.319	775							29.024	428	32.022	68626
		27.227	301	15.718	1741	25.35	1008	29.144	179	15.86	3290			15.054	1240	28.336	205	18.627	605	15.211	2362	20.499	284	26.785	1655	15.926	582	24.922	399	20.182	840	27.594	1715	28.334	176	13.684	1703	27.08	415	17.326	1127	21.42	53066	16.076	292	18.966	1292	15.974	1287	17.391	1870	18.3	211	16.912	474	13.91	711	17.321	346	25.996	482	14.595	1867	26.129	545	25.162	1640	26.559	1704	22.105	404	27.586	1025	29.378	1614	27.581	811	25.544	698	22.094	1757	34.144	2964	23.56	629	22.682	6040	16.055	286	26.546	434	28.615	263539	19.93	294	34.137	3920	16.319	511	24.619	479			33.959	14411	29.372	1499			21.78	1716	16.953	1489	23.568	939	22.033	204	32.325	1391	32.023	64155					31.71	5189							29.14	3089	32.284	9265
		27.601	993	15.783	1594	25.401	537	29.186	1624	15.977	2713			15.134	977	28.386	443	18.745	897	15.325	2397	20.64	23961	26.991	4158	15.968	2172	25.169	2512	20.37	2558	27.743	3349	28.461	27134	13.792	12967	27.225	378	17.392	2211	21.798	1219	16.241	3677	18.994	1714	16.077	288	17.471	10425	18.437	2414	16.97	830	13.982	330	17.386	1147	26.128	492	14.738	266	26.201	5467	25.187	1303	26.777	2569	22.418	835	27.732	2867	29.472	719	27.728	4168	25.581	591	22.378	2765	34.397	1500	23.65	1014	22.728	7340	16.222	1942	26.763	1764	28.779	1748	19.967	894	34.392	1795	16.39	1707	24.732	170			34.137	3623	29.517	428			21.826	1569	17.009	864	23.652	5367	22.082	355	32.938	10856	32.789	696					32.022	63777							29.252	1832	32.384	2095
		27.747	3988	15.858	3084	25.568	546	29.25	989	16.084	305			15.165	1036	28.468	19014	18.865	995	15.448	1121	20.892	297	27.077	209	16.074	352	25.292	390	20.5	331	28.281	1515	28.569	732	13.842	1410	27.602	3222	17.471	8090	21.842	628	16.335	670	19.114	569	16.242	3866	17.69	777	18.49	661	17.028	622	14.037	9471	17.464	5819	26.201	5174	14.835	2696	26.31	1657	25.243	204	26.98	4122	22.495	11132	28.272	1326	29.531	2292	28.267	2487	25.621	956	22.466	16831	35.274	8486	23.707	294	23.135	1986	16.391	951	26.966	9051	28.914	418	20.093	2769	35.267	7071	16.429	583	24.823	366			34.395	2622	29.656	4963			21.923	788	17.103	2475	23.825	10490	22.406	423	33.783	1185	32.925	6082					32.307	5590							29.359	2339	32.783	415
		28.117	392	15.966	2542	25.634	4321	29.36	281	16.25	2061			15.217	2746	28.578	768	18.907	945	15.509	2196	21.039	1111	27.225	297	16.239	2028	25.343	12033	20.641	23817	28.461	25473	28.636	185963	13.905	533	27.746	3770	17.77	5122	22.012	156	16.41	965	19.319	2379	16.336	612	17.769	498	18.588	719	17.124	1904	14.108	1867	17.709	206	26.312	1474	14.934	20875	26.384	1273	25.335	18736	27.064	536	22.744	9743	28.313	1823	29.771	583	28.448	29489	25.694	1602	22.684	10162	35.619	7766	23.928	728	23.321	1181	16.431	602	27.052	297	29.149	876	20.192	367	35.614	3853	16.557	9582	25.129	347			34.922	548	29.797	23199			21.996	2452	17.138	1397	23.907	2551	22.519	3276	33.96	11626	33.004	1828					32.378	2830							29.508	1864	32.909	25263
		28.287	1897	16.077	366	26.214	1072	29.405	1604	16.42	848			15.335	2918	28.644	298234	18.967	2324	15.572	4254	21.184	2890	27.599	907	16.336	355	25.395	4732	20.899	1119	28.566	543	28.817	536	13.976	330	28.286	2135	17.933	424	22.062	366	16.453	584	19.425	3006	16.412	403	17.868	254	18.636	984	17.159	6305	14.247	2780	17.763	3558	26.385	3545	15.043	1060	26.558	1416	25.386	4822	27.213	385	23.08	267	28.387	1816	29.822	507	28.559	1358	25.741	880	22.911	2571			24.269	600	23.395	2051	16.558	2814	27.575	1568	29.225	1065	20.353	500			16.643	1237	25.174	1820			35.268	14551	29.896	2253			22.049	205	17.373	1545	24	1105	22.726	4007	34.141	3813	33.771	853					32.787	568							29.648	3798	33.214	1327
		28.332	399	16.242	4496	26.4	728	29.694	2940	16.461	673			15.451	1351	28.815	901	18.994	2985	15.716	1986	21.426	102919	27.744	3094	16.409	1071	25.469	302	21.035	1225	28.633	22253	29.061	865	14.031	8212	28.331	425	17.994	1156	22.12	480	16.579	1327	19.585	1828	16.579	1156	18.139	1061	18.727	1877	17.247	2802	14.288	3619	18.124	853	26.472	233	15.157	1462	26.777	2997	26.123	241	27.587	1123	23.149	5142	28.453	23146	29.932	884	28.619	120987	25.859	459	22.959	251			24.393	489	23.559	463	16.64	408	27.66	150	29.324	419	20.638	9237			16.78	2246	25.262	378			38.593	1489	29.928	1757			22.103	495	17.453	8418	24.095	936	23.135	1684	34.398	1943	33.946	11750					32.933	2523							29.787	22772	33.359	2857
		28.468	24410	16.335	837	26.489	369	29.836	14856	16.586	2240			15.515	2509	29.067	621	19.112	541	15.78	1765	21.79	714	28.283	1401	16.449	679	25.635	3156	21.184	2847	29.129	241	29.132	846	14.102	1075	28.4	1465	18.135	482	22.395	2629	16.642	877	19.649	784	16.962	1004	18.216	597	18.87	700	17.329	1192	14.373	30467	18.211	825	26.56	1239	15.209	5062	26.981	4206	26.2	6497	27.734	4056	23.336	1154	28.635	809729	30.124	797	28.794	1062	26.199	286	23.08	262			24.444	412	23.648	4790	16.889	226	27.721	3946	29.367	1519	21.004	2374			16.888	3809	25.319	1312					30.023	1343			22.224	411	17.752	1973	24.219	1581	23.324	1122	35.274	14700	34.127	4543					33.212	833							29.887	3494	33.77	3573
		28.58	708	16.412	1046	26.527	748	29.938	2529	16.667	259			15.577	4930	29.134	620	19.162	670	15.854	3391	22.011	135	28.334	191	16.576	2678	25.821	561	21.323	234	29.174	2503	29.175	4344	14.133	513	28.467	26181	18.217	1196	22.456	8849	16.959	914	19.736	2458	17.027	1041	18.432	8605	18.965	546	17.394	2204	14.452	8249	18.415	2375	26.778	2825	15.327	1664	27.068	473	26.383	316	28.061	327	23.404	5193	28.801	2874	30.181	3322	28.947	645	26.376	1859	23.124	3538			24.481	425	23.821	337	16.949	737	28.137	323	29.462	1847	21.393	12643			16.949	2555	25.37	1031					30.107	396			22.384	1350	17.985	546	24.276	1300	23.395	2740	38.6	1734	34.381	1997					33.769	624							30.01	375	33.947	11610
		28.646	389466	16.453	717	27	782	30.007	479	16.915	171			15.722	2258	29.18	3040	19.286	973	15.965	2959	22.063	426	28.398	966	16.658	313	25.877	582	21.423	80234	29.247	1567	29.25	5525	14.241	2340	28.579	750	18.299	407	22.54	6251	17.026	1029	19.838	1175	17.121	2162	18.635	901	18.997	591	17.473	8569	14.543	6832	18.487	355	26.981	4078	15.442	2787	27.212	360	26.558	717	28.272	1970	23.53	3391	28.927	1507	30.284	3482	29.043	562	26.468	727	23.333	25443			24.535	3828	24.093	2115	17.008	660	28.259	1470	29.518	4840	21.488	3630			17.009	1947	25.538	237					30.171	672			22.431	1619	18.118	700	24.347	471	23.558	656			35.259	13741					33.95	11127							30.1	357	34.131	7120
		28.817	847	16.58	1915	27.317	332	30.065	212	16.977	774			15.787	2156	29.244	5041	19.322	1600	16.075	409	22.398	3762	28.465	19923	16.905	235	26.003	344	21.792	778	29.391	583	29.344	1194	14.283	3207	28.644	363415	18.429	6419	22.667	12433	17.121	1970	19.928	462	17.155	1756	18.724	2078	19.114	1031	17.717	915	14.601	6232	18.73	382	27.068	473	15.506	1181	27.584	545	26.775	1742	28.315	1449	23.58	447	29.041	1334	30.527	6218	29.161	3908	26.502	679	23.564	195			24.618	763	24.215	1576	17.1	2224	28.299	548	29.655	743	21.77	987			17.134	20412	25.68	245					30.272	3957			22.53	10871	18.199	829	24.471	934	23.647	926			35.601	2358					34.13	5003							30.161	322	34.384	2056
		29.064	503	16.655	388	27.608	1258	30.211	397	17.034	815			15.859	4006	29.357	460	19.423	2596	16.24	4972	22.448	17111	28.572	711	16.965	563	26.137	343	22.061	566	29.681	1747	29.394	1809	14.367	45348	28.813	1595	18.588	1023	22.927	3371	17.153	1229	19.992	2331	17.391	1313	18.868	1673	19.173	649	17.772	5292	14.744	829	18.861	349	27.213	348	15.569	2553	27.676	194	26.979	6920	28.389	2468	23.662	3328	29.163	3628	30.654	16701	29.229	1284	26.552	1629	23.652	321			24.662	1678	24.388	130	17.135	4215	28.441	18220	29.761	2931	21.817	514			17.223	7389	26.187	337					30.514	7258			22.644	1792	18.408	740	24.533	13321	23.705	332									34.381	2088							30.26	4216	35.253	10054
		29.179	3270	16.953	647	27.75	620	30.314	3813	17.128	2220			15.972	3149	29.397	2183	19.514	388	16.333	910	22.495	5228	28.639	230596	17.024	779	26.21	5759	22.115	535	29.824	6249	29.432	1450	14.443	6299	28.896	154	18.634	1236	22.981	456	17.39	1166	20.113	3982	17.471	9044	19.115	915	19.289	1148	18.134	1337	14.841	5870	18.957	732	27.589	1567	15.608	548	27.734	3961	27.064	289	28.455	28145	23.74	1788	29.239	3211	30.762	13845	29.282	1431	26.713	644	23.826	618			24.903	598	24.528	12514	17.226	1155	28.618	483224	29.807	1265	22.405	662			17.304	2676	26.259	1196					30.64	18821			22.708	18307	18.474	1073	24.629	2065	23.924	552									35.256	12545							30.373	529	35.6	1633
		29.245	2795	17.027	1012	28.079	474	30.555	2505	17.166	3150			16.081	511	29.489	290	19.584	1979	16.41	1069	22.659	17249	28.808	1740	17.118	2492	26.393	3406	22.396	3798	29.951	2787	29.488	2090	14.537	5904	28.95	1063	18.729	2261	23.096	120	17.469	8579	20.213	793	17.68	737	19.187	613	19.329	797	18.22	1132	14.942	72563	18.989	801	27.735	3458	15.648	1076	28.273	2348	27.215	261	28.637	783347	23.937	566	29.287	1951	30.948	7587	29.334	528	26.974	1223	23.994	836			25.148	3530	24.614	1426	17.306	197	28.788	1154	29.896	4422	22.464	13470			17.372	3586	26.369	310					30.748	9359			22.829	856	18.573	1596	24.741	14514	23.988	377									35.603	6315							30.502	8848		
		29.301	761	17.122	2421	28.332	780	30.653	19720	17.252	1014			16.245	5626	29.542	153	19.67	19896	16.451	792	22.752	176	28.941	690	17.154	3679	26.566	313	22.449	18305	30.053	900	29.539	1807	14.596	5402	29.063	1176	18.867	1820	23.141	5117	17.679	647	20.3	145	17.768	2731	19.255	228	19.377	242	18.431	3749	15.05	3098	19.106	561	28.275	2217	15.712	786	28.314	754	27.587	2253	28.798	3087	24.005	2074	29.382	10118	31.207	6049	29.383	1973	27.293	312	24.531	816			25.325	90717	24.668	374	17.371	1683	28.915	496	29.997	2078	22.681	3046			17.45	12031	26.456	314					30.917	1989			22.869	792	18.617	1492	24.832	659	24.267	474																	30.619	13612		
		29.352	141	17.155	1970	28.414	1065	30.793	4471	17.334	225			16.339	1096	29.688	3000	19.729	2041	16.577	2065	22.882	125	29.177	2985	17.244	1172	26.785	1793	22.501	4986	30.199	351	29.642	1556	14.739	641	29.179	3721	18.923	270	23.347	9383	17.767	2406	20.374	1102	18.006	827	19.29	474	19.428	3551	18.589	718	15.162	4756	19.275	736	28.316	1769	15.775	995	28.373	541	27.679	145	28.932	1483	24.121	1842	29.472	6644	31.275	965	29.529	765	27.582	2977	24.741	784			25.451	440	24.734	379	17.452	8895	29.03	463	30.116	409	22.725	3783			17.692	2435	26.497	813					31.064	1918			22.928	2177	18.695	1757	24.907	326	24.392	429																	30.736	4591		
		29.397	1795	17.392	1477	28.472	3690	30.961	762	17.4	1640			16.414	1292	29.829	17093	19.789	550	16.653	403	22.927	3330	29.245	3762	17.388	1697	26.99	4421	22.661	15028	30.302	2374	29.681	4975	14.835	5642	29.282	2660	18.967	1148	23.582	199	18.005	764	20.543	134	18.138	781	19.427	3560	19.593	1000	18.637	993	15.214	6397	19.318	433	28.39	1819	15.853	3490	28.455	35056	27.733	3858	29.044	1624	24.229	1022	29.53	8750	31.342	1106	29.665	5067	27.663	777	25.324	1356			25.626	388	24.901	475	17.696	730	29.15	2666	30.173	1819	23.133	4465			17.748	11585	26.546	2339					31.188	8936			23.162	10147	18.851	1004	24.993	805	24.481	160																	30.904	1705		
		29.487	205	17.472	10575	28.646	205777	31.109	1293	17.479	8349			16.452	945	29.93	4576	19.835	1190	16.952	886	22.976	235	29.392	2663	17.469	9520	27.078	212	22.75	222	30.544	4069	29.823	21867	14.937	63245	29.396	3446	18.996	1377	23.669	471	18.137	655	20.672	9191	18.218	3420	19.597	954	19.671	856	18.736	1105	15.331	8081	19.419	2205	28.456	28942	15.925	822	28.564	1537	28.271	1189	29.164	5383	24.405	269	29.672	8383	31.733	1589	29.808	29584	27.725	789	25.376	792			25.985	499	25.065	558	17.75	4086	29.222	1072	30.272	2425	23.395	1736			17.845	533	26.966	1241					31.326	2049			23.239	674	18.982	185	25.066	611	24.53	2485																	31.052	1650		
		29.543	469	17.68	793	28.816	1505	31.202	6792	17.777	2995			16.583	1712	30	880	19.934	1118	17.024	1099	23.097	162	29.461	405	17.766	3755	27.224	388	22.926	3249	30.646	14850	29.926	4119	15.045	2671	29.482	1576	19.113	955	23.719	1234	18.217	3508	20.955	172	18.638	880	19.672	1046	19.739	3065	18.87	511	15.405	979	19.581	959	28.569	1557	15.966	2575	28.628	255183	28.372	579	29.256	7959	24.495	654	29.774	7647	31.901	566	29.906	3954	28.052	597	25.503	240			26.115	678	25.145	2128	18.114	1131	29.274	422	30.515	6322	23.556	420			17.912	1215	27.287	317					31.717	1188			23.334	6183	19.096	987	25.1	597	24.612	1079																	31.156	17075		
